date,body_fat
2025-02-03,24.5
2025-02-09,23.8
2025-02-16,23.5
2025-02-23,22.9
2025-03-02,23.3
2025-03-09,22.8
2025-03-16,22.8
2025-03-23,22.4
2025-03-30,22.3
2025-04-06,21.7
2025-04-13,22.8
2025-04-20,21.8
2025-04-27,22.0
